id,name,from_anime,gender,price,image_url
264,Sakamaki Reiji,Diabolik Lovers,m,2472,http://cdn.myanimelist.net/images/characters/6/290868.jpg
265,Sakamaki Shuu,Diabolik Lovers,m,1620,http://cdn.myanimelist.net/images/characters/7/266367.jpg
266,Sakamaki Subaru,Diabolik Lovers,m,3246,http://cdn.myanimelist.net/images/characters/4/290843.jpg
267,Sakata Gintoki,Gintama,m,2286,http://cdn.myanimelist.net/images/characters/9/120516.jpg
268,Sakishima Hikari,Nagi no Asukara,m,1386,http://cdn.myanimelist.net/images/characters/13/221663.jpg
269,Sanada Yuki,Tsuritama,m,4676,http://cdn.myanimelist.net/images/characters/9/162921.jpg
270,Sanageyama Uzu,Kill la Kill,m,3058,http://cdn.myanimelist.net/images/characters/5/234905.jpg
271,Sanji,One Piece,m,3828,http://cdn.myanimelist.net/images/characters/5/136769.jpg
272,Satomi Rentarou,Black Bullet,m,4085,http://cdn.myanimelist.net/images/characters/3/244717.jpg
273,Satoshi (Pokemon),Pokemon,m,4721,http://cdn.myanimelist.net/images/characters/6/276229.jpg
274,Satou Jun,Working!!,m,4184,http://cdn.myanimelist.net/images/characters/5/87907.jpg
275,Sawada Tsunayoshi,Katekyo Hitman Reborn!,m,4994,http://cdn.myanimelist.net/images/characters/8/31137.jpg
276,Sawamura Eijun,Diamond no Ace,m,3287,http://cdn.myanimelist.net/images/characters/5/235393.jpg
277,Schicksal Souma,God Eater,m,751,http://cdn.myanimelist.net/images/characters/12/122201.jpg
278,Schneizel el Britannia,Code Geass,m,3111,http://cdn.myanimelist.net/images/characters/4/31513.jpg
279,Natsuki Subaru,Re:Zero kara Hajimeru Isekai Seikatsu,m,3499,https://myanimelist.cdn-dena.com/images/characters/16/305702.jpg
